@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
https,23.0,3,3,false,29.0,14.0,12.0,21.0,29.0,false
https,5.0,5,5,false,45.0,57.0,15.0,-1.0,15.0,false
https,9.0,8,8,false,68.0,73.0,13.0,12.0,22.0,false
https,8.0,92,92,false,17.0,23.0,16.0,-1.0,20.0,false
https,5.0,2,2,false,15.0,26.0,12.0,5.0,15.0,false
https,5.0,2,2,false,12.0,21.0,14.0,5.0,15.0,false
https,14.0,10,10,false,62.0,54.0,18.0,-1.0,24.0,false
https,10.0,11,11,false,47.0,43.0,24.0,12.0,19.0,false
https,10.0,9,9,false,58.0,54.0,24.0,12.0,19.0,false
http,12.0,6,6,false,37.0,32.0,17.0,13.0,25.0,false
https,37.0,0,0,false,37.0,16.0,12.0,-1.0,-1.0,false
https,18.0,55,55,false,20.0,10.0,13.0,14.0,27.0,false
https,17.0,0,0,false,64.0,56.0,6.0,-1.0,-1.0,false
https,3.0,0,0,false,3.0,15.0,15.0,-1.0,-1.0,false
https,6.0,5,5,false,51.0,55.0,10.0,5.0,16.0,false
https,11.0,8,8,false,18.0,18.0,9.0,-1.0,12.0,false
https,5.0,0,0,false,5.0,6.0,6.0,-1.0,-1.0,false
https,23.0,1,1,false,43.0,36.0,10.0,26.0,-1.0,false
http,9.0,3,3,false,63.0,66.0,12.0,4.0,16.0,false
https,19.0,3,3,false,36.0,31.0,10.0,21.0,29.0,false
https,5.0,2,2,false,12.0,19.0,10.0,5.0,13.0,false
https,17.0,9,9,false,53.0,54.0,18.0,17.0,24.0,false
https,4.0,0,0,false,4.0,18.0,18.0,-1.0,20.0,false
https,15.0,10,10,false,24.0,26.0,17.0,13.0,24.0,false
https,9.0,15,15,false,74.0,74.0,15.0,11.0,16.0,false
https,13.0,1,1,false,39.0,64.0,22.0,-1.0,22.0,false
https,10.0,3,3,false,19.0,21.0,18.0,12.0,24.0,false
https,15.0,44,44,false,66.0,64.0,9.0,15.0,23.0,false
https,5.0,0,0,false,12.0,12.0,12.0,5.0,-1.0,false
https,20.0,0,0,false,37.0,34.0,12.0,20.0,28.0,false
https,10.0,3,3,false,47.0,41.0,9.0,-1.0,24.0,false
https,12.0,1,1,false,34.0,30.0,12.0,-1.0,20.0,false
https,12.0,0,0,false,34.0,43.0,12.0,-1.0,-1.0,false
https,12.0,0,0,false,34.0,40.0,13.0,-1.0,23.0,false
https,17.0,4,4,false,19.0,19.0,17.0,-1.0,34.0,false
https,12.0,26,25,false,48.0,59.0,15.0,12.0,23.0,false
https,6.0,11,11,false,32.0,38.0,8.0,5.0,18.0,false
https,5.0,2,2,false,9.0,12.0,12.0,-1.0,-1.0,false
https,5.0,0,0,false,22.0,23.0,6.0,4.0,16.0,false
https,20.0,2,2,false,27.0,25.0,12.0,-1.0,32.0,false
https,5.0,0,0,false,74.0,78.0,17.0,-1.0,20.0,false
https,8.0,215,215,false,11.0,15.0,12.0,6.0,9.0,false
https,8.0,13,13,false,74.0,78.0,11.0,-1.0,16.0,false
https,6.0,4,4,false,13.0,17.0,10.0,-1.0,16.0,false
http,5.0,60,60,false,74.0,81.0,10.0,5.0,15.0,false
https,11.0,1,1,false,26.0,26.0,13.0,12.0,18.0,false
https,11.0,11,11,false,21.0,16.0,6.0,-1.0,17.0,false
http,11.0,1,1,false,57.0,60.0,10.0,11.0,17.0,false
https,6.0,5,5,false,24.0,30.0,10.0,14.0,16.0,false
https,0.0,8,8,false,23.0,35.0,12.0,0.0,9.0,false
https,15.0,60,60,false,64.0,63.0,10.0,12.0,23.0,false
https,12.0,28,28,false,27.0,22.0,15.0,13.0,26.0,false
https,6.0,2,2,false,44.0,48.0,10.0,5.0,17.0,false
https,9.0,3,3,false,16.0,19.0,24.0,9.0,18.0,false
https,48.0,122,119,false,72.0,50.0,9.0,49.0,54.0,false
https,7.0,4,4,false,23.0,26.0,10.0,5.0,16.0,false
https,4.0,1,1,false,96.0,112.0,16.0,-1.0,14.0,false
https,9.0,1,1,false,74.0,92.0,16.0,-1.0,22.0,false
https,10.0,7,7,false,66.0,73.0,11.0,13.0,19.0,false
https,10.0,27,27,false,49.0,53.0,14.0,11.0,23.0,false
https,19.0,8,8,false,24.0,10.0,10.0,14.0,28.0,false
