@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
191,157,2,6,190,0.030612,0.987421,0.96319,0.987421,0.03681,0.975155,0.459155,2.150519,0.482023
192,157,2,5,191,0.02551,0.987421,0.969136,0.987421,0.030864,0.978193,0.456338,2.163794,0.534151
193,157,2,4,192,0.020408,0.987421,0.975155,0.987421,0.024845,0.98125,0.453521,2.177233,0.646706
194,156,3,4,192,0.020408,0.981132,0.975,0.981132,0.025,0.978056,0.450704,2.176887,0.871368
195,155,4,4,192,0.020408,0.974843,0.974843,0.974843,0.025157,0.974843,0.447887,2.176536,0.927877
196,152,7,4,192,0.020408,0.955975,0.974359,0.955975,0.025641,0.965079,0.439437,2.175456,0.944369
197,151,8,4,192,0.020408,0.949686,0.974194,0.949686,0.025806,0.961783,0.43662,2.175086,0.951349
198,150,9,4,192,0.020408,0.943396,0.974026,0.943396,0.025974,0.958466,0.433803,2.174712,0.952963
199,149,10,4,192,0.020408,0.937107,0.973856,0.937107,0.026144,0.955128,0.430986,2.174333,0.954842
200,149,10,3,193,0.015306,0.937107,0.980263,0.937107,0.019737,0.958199,0.428169,2.188638,0.95522
201,148,11,3,193,0.015306,0.930818,0.980132,0.930818,0.019868,0.954839,0.425352,2.188346,0.960242
202,147,12,3,193,0.015306,0.924528,0.98,0.924528,0.02,0.951456,0.422535,2.18805,0.965639
203,146,13,3,193,0.015306,0.918239,0.979866,0.918239,0.020134,0.948052,0.419718,2.187751,0.967682
204,145,14,3,193,0.015306,0.91195,0.97973,0.91195,0.02027,0.944625,0.416901,2.187447,0.971365
205,143,16,3,193,0.015306,0.899371,0.979452,0.899371,0.020548,0.937705,0.411268,2.186827,0.973319
206,142,17,3,193,0.015306,0.893082,0.97931,0.893082,0.02069,0.934211,0.408451,2.186511,0.97372
207,141,18,3,193,0.015306,0.886792,0.979167,0.886792,0.020833,0.930693,0.405634,2.18619,0.97826
208,140,19,3,193,0.015306,0.880503,0.979021,0.880503,0.020979,0.927152,0.402817,2.185864,0.978764
209,138,21,3,193,0.015306,0.867925,0.978723,0.867925,0.021277,0.92,0.397183,2.1852,0.980459
210,136,23,3,193,0.015306,0.855346,0.978417,0.855346,0.021583,0.912752,0.391549,2.184517,0.982224
211,135,24,3,193,0.015306,0.849057,0.978261,0.849057,0.021739,0.909091,0.388732,2.184167,0.982404
212,134,25,3,193,0.015306,0.842767,0.978102,0.842767,0.021898,0.905405,0.385915,2.183813,0.982611
213,133,26,3,193,0.015306,0.836478,0.977941,0.836478,0.022059,0.901695,0.383099,2.183454,0.984273
214,132,27,3,193,0.015306,0.830189,0.977778,0.830189,0.022222,0.897959,0.380282,2.183089,0.985052
215,131,28,3,193,0.015306,0.823899,0.977612,0.823899,0.022388,0.894198,0.377465,2.182718,0.985456
216,130,29,3,193,0.015306,0.81761,0.977444,0.81761,0.022556,0.890411,0.374648,2.182343,0.985643
217,128,31,3,193,0.015306,0.805031,0.977099,0.805031,0.022901,0.882759,0.369014,2.181574,0.986276
218,127,32,3,193,0.015306,0.798742,0.976923,0.798742,0.023077,0.878893,0.366197,2.18118,0.986382
219,126,33,3,193,0.015306,0.792453,0.976744,0.792453,0.023256,0.875,0.36338,2.180781,0.986956
220,125,34,3,193,0.015306,0.786164,0.976563,0.786164,0.023438,0.87108,0.360563,2.180375,0.987406
221,124,35,3,193,0.015306,0.779874,0.976378,0.779874,0.023622,0.867133,0.357746,2.179963,0.989251
222,122,37,3,193,0.015306,0.767296,0.976,0.767296,0.024,0.859155,0.352113,2.179119,0.989301
223,120,39,3,193,0.015306,0.754717,0.97561,0.754717,0.02439,0.851064,0.346479,2.178248,0.989961
224,119,40,3,193,0.015306,0.748428,0.97541,0.748428,0.02459,0.846975,0.343662,2.177802,0.990192
225,118,41,3,193,0.015306,0.742138,0.975207,0.742138,0.024793,0.842857,0.340845,2.177348,0.990258
226,117,42,3,193,0.015306,0.735849,0.975,0.735849,0.025,0.83871,0.338028,2.176887,0.990354
227,115,44,3,193,0.015306,0.72327,0.974576,0.72327,0.025424,0.830325,0.332394,2.175941,0.990356
228,114,45,3,193,0.015306,0.716981,0.974359,0.716981,0.025641,0.826087,0.329577,2.175456,0.990667
229,113,46,3,193,0.015306,0.710692,0.974138,0.710692,0.025862,0.821818,0.326761,2.174962,0.991304
230,111,48,3,193,0.015306,0.698113,0.973684,0.698113,0.026316,0.813187,0.321127,2.173949,0.991435
231,110,49,3,193,0.015306,0.691824,0.973451,0.691824,0.026549,0.808824,0.31831,2.173429,0.991545
232,109,50,3,193,0.015306,0.685535,0.973214,0.685535,0.026786,0.804428,0.315493,2.1729,0.991985
233,108,51,3,193,0.015306,0.679245,0.972973,0.679245,0.027027,0.8,0.312676,2.172361,0.992147
234,107,52,3,193,0.015306,0.672956,0.972727,0.672956,0.027273,0.795539,0.309859,2.171812,0.992411
235,106,53,3,193,0.015306,0.666667,0.972477,0.666667,0.027523,0.791045,0.307042,2.171254,0.992416
236,105,54,3,193,0.015306,0.660377,0.972222,0.660377,0.027778,0.786517,0.304225,2.170685,0.993437
237,104,55,3,193,0.015306,0.654088,0.971963,0.654088,0.028037,0.781955,0.301408,2.170105,0.99353
238,102,57,3,193,0.015306,0.641509,0.971429,0.641509,0.028571,0.772727,0.295775,2.168913,0.993833
239,101,58,3,193,0.015306,0.63522,0.971154,0.63522,0.028846,0.768061,0.292958,2.168299,0.994032
240,100,59,3,193,0.015306,0.628931,0.970874,0.628931,0.029126,0.763359,0.290141,2.167674,0.994049
241,99,60,3,193,0.015306,0.622642,0.970588,0.622642,0.029412,0.758621,0.287324,2.167037,0.994225
242,98,61,3,193,0.015306,0.616352,0.970297,0.616352,0.029703,0.753846,0.284507,2.166386,0.994235
